Tweet,Label
I love finding out who your true friends are. It's seriously just the best. (:,0
USER :/ bye,0
USER I absolutely love Kanye's voice USER,0
"We're hiring a new Kiosk Supervisor! Think you have what it takes? Then apply! URL Deadline is September 7th, at Noon!",0
Every time I see Dave Grohl with his long hippy haircut I wonder if he's back on heroin.,0
USER it's mint,0
First dose of IV steroids.. Let the moon face begin! ?,0
USER reply via blacyeaherry messenger ya renee hihi,0
"God will supply us with the opportunity, but it's up to us to do something with it.",0
If you appreciate my nerdy tendencies #TheLoveIsReal,0
USER why you there? #jel,0
Traveling first class from Paris. Is it worth the price? URL,0
I keep waking up and falling back to sleep,0
"USER thanks for picking me up a few, really now, you didn't have too",0
The girl next to me smells like pancakes. #tease,0
USER had an ex who worked at VNU..#fantasticfact,0
USER Only took you 14 minutes to decide? I can only hope you give the DNC equal time.,0
"Time to start getting for work, whoo hoo! The joy ? lol",0
Slapen #twexit,0
Swag is just a shortened version of swagger. Thanks nick I didn't know that!,0
"In a bit of initially unplanned synergy, USER breaks down the USER crew's recent NFL slow draft: URL",0
oh thanks.,0
"Being awake this early to pack up my stuff and move rooms sucks. But on the plus side, FAIR TODAY! ? #soexcited ? #carnilife",0
"I like the way you french.. Inhale ,do it again ?",0
USER I love kale chips! What is your recipe?,0
why i so hyper. anyone coming for a 128.4 mile run?? #NotEvenHadAnySweeties #hyper,0
Love you more than this #kodeASIKASIK *poke USER :p hahah,0
At Least The Line In The Book Store Isn't Long. -__-,0
USER thats just who i amm :/ i help people in times like thesee,0
USER USER ?? ?? ?? ?? ?? ?? ?? ?? :D,0
"Siplah, dtunggu Yªaªa? transferan not applicable Yªaªa? wkwkw RT USER Iya [??u?] (cont) URL",0
I'm going to be tired as hell Wednesday,0
arrgh my feet are killing me school uniform done new school shoes check coat bag lunch box bed early for me i think USER,0
USER #loveit,0
"USER USER yeah, trophies and goals aren't everything.",0
USER oh no way! I've just had a cooked breakfast on the boss. #workbenefits!,0
USER Buwas :)) Pero d pak sure kun showing not applicable geap i2 ha rob..,0
Our friends at the Fowler House in Quincy love Bawstins so much they may be adding it to their favorite dish. Look out its going to be awesome!,0
Taking applications. #society #join #love #instagood #lol URL,0
New Jersey Shopping Plaza Shootout Leaves Three Dead - Yahoo! URL via USER,0
Want to save money on your next Jerky run? Check out the All Things Jerky coupons at URL URL,0
The average man could not handle my haircut,0
AP Government is the most exciting class I've ever taken! ? #NotesOnNotesOnotes,0
My work ethic tonight is on a different level .. It'll wait till tomorrow,0
All I want for my birthday is.. too Chainz feat. Kanye West - Birthday Song :: URL,0
Woo best part is the library tour,0
USER pew yg rmai??,0
USER Well aren't you just the coolest thing that ever happened to i want you #youstillikeme #hehehe,0
Fuck i want creepers but i want more shirts >.>,0
The OzMoGa Times is out! URL ? Top stories today via USER USER,0
I am a paleontologist. That's who I am.,0
Will missing in action from Internet when out because 2g exceelaughing out loud lol using wifi now :x stupid Singtel,0
USER puts me in the bestt mood everr <3,0
And on top of it all our power is out #bestdayever,0
hmph O__o,0
